Product_Name,Rating,No_Of_Ratings,Specifications,Price,Original_Price,Discount,Page
"POCO C71 (Desert Gold, 128 GB)",4.1,"30,602 Ratings & 1,450 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","₹7,499","₹9,999",25% off,1
"Samsung Galaxy F07 (Green, 64 GB)",4.3,"2,647 Ratings & 136 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G99 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"₹7,849","₹9,999",21% off,1
"MOTOROLA g35 5G (Midnight Black, 128 GB)",4.2,"1,17,212 Ratings & 7,254 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,"₹9,999","₹12,499",20% off,1
"POCO C71 (Cool Blue, 64 GB)",3.9,"54,664 Ratings & 2,462 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","₹6,799","₹8,999",24% off,1
"Ai+ Pulse (Blue, 64 GB)",4.3,"40,425 Ratings & 2,483 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,"₹6,499","₹7,999",18% off,1
"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)",4.4,"6,095 Ratings & 368 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 8MP Front Camera7000 mAh Battery6s Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹14,999","₹17,999",16% off,1
"MOTOROLA g05 (Forest Green, 64 GB)",4.2,"75,469 Ratings & 4,605 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5100 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹7,299","₹9,999",27% off,1
"POCO M7 5G (Satin Black, 128 GB)",4.1,"70,470 Ratings & 3,269 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,999","₹12,999",23% off,1
"realme C61 (Marble Black, 64 GB)",4.3,"40,868 Ratings & 1,318 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹7,249","₹8,999",19% off,1
"POCO C71 (Desert Gold, 64 GB)",3.9,"54,664 Ratings & 2,462 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","₹6,799","₹8,999",24% off,1
"MOTOROLA g06 power (Pantone Tendril, 64 GB)",4.3,"3,685 Ratings & 252 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹7,999","₹9,999",20% off,1
"MOTOROLA g67 power 5G (Pantone Parachute, 128 GB)",4.4,"5,221 Ratings & 315 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera7000 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹16,999","₹18,999",10% off,1
"MOTOROLA g67 power 5G (Pantone Cilantro, 128 GB)",4.4,"5,221 Ratings & 315 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera7000 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹16,999","₹18,999",10% off,1
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",4.4,"54,305 Ratings & 1,701 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹12,999","₹14,999",13% off,1
"POCO C75 5G (Aqua Bliss, 64 GB)",4.2,"1,44,935 Ratings & 6,395 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,499","₹10,999",22% off,1
"vivo T4x 5G (Pronto Purple, 128 GB)",4.4,"1,98,854 Ratings & 8,775 Reviews",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹15,499","₹17,999",13% off,1
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",4.4,"40,115 Ratings & 1,193 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹11,999","₹13,999",14% off,1
"MOTOROLA g35 5G (Leaf Green, 128 GB)",4.2,"1,17,212 Ratings & 7,254 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,"₹9,999","₹12,499",20% off,1
